# M=14, N=20, Steps=50, N2=3
# Crop IDs: {1: 'огурец', 2: 'помидор', 3: 'перцы', 4: 'укроп или чеснок или горчица', 5: 'фасоль', 6: 'капуста', 7: 'хрен', 8: 'табак или кориандр(кинза)'}
# Unique solutions: 103
# Format: histogram (space-separated) ; error
#==================================================
3 6 0 2 3 2 0 0 0 0 0 0 2 2 ; 0.0068944444
1 1 0 1 5 0 0 3 2 1 3 0 2 1 ; 0.1274500000
2 6 0 3 4 0 0 0 0 0 0 0 2 3 ; 0.0059777778
2 1 5 1 1 1 1 0 0 0 2 3 1 2 ; 0.0931444444
1 6 4 1 0 4 0 0 0 0 0 0 3 1 ; 0.0068111111
1 6 3 1 1 3 0 0 0 0 0 0 3 2 ; 0.0059777778
3 0 1 2 3 3 1 0 4 0 0 1 2 0 ; 0.0791722222
1 6 1 3 3 1 0 0 0 0 0 0 3 2 ; 0.0059777778
2 2 4 2 2 0 0 0 0 2 4 0 1 1 ; 0.1142833333
0 4 3 0 0 2 1 0 2 2 1 2 1 2 ; 0.0870055556
3 5 3 0 1 3 0 0 0 0 0 0 1 4 ; 0.0087277778
0 1 1 5 0 0 0 0 0 4 2 2 0 5 ; 0.1104222222
1 6 0 3 6 0 0 0 0 0 0 0 1 3 ; 0.0083666667
1 0 0 2 2 2 0 1 3 3 4 0 2 0 ; 0.1266722222
0 1 3 3 2 1 0 0 3 1 1 1 1 3 ; 0.0483388889
1 6 2 2 2 3 0 0 0 0 0 0 3 1 ; 0.0068944444
1 1 2 1 1 0 0 2 2 4 4 0 0 2 ; 0.1580888889
2 2 0 3 0 3 0 2 2 2 0 0 1 3 ; 0.0574777778
1 2 2 4 0 1 0 3 1 0 3 0 2 1 ; 0.0985055556
2 6 0 3 3 1 0 0 0 0 0 0 3 2 ; 0.0059777778
1 0 1 0 0 2 2 4 4 0 2 1 1 2 ; 0.1467555556
5 0 0 0 3 2 0 0 0 3 1 1 5 0 ; 0.1508666667
4 6 0 1 1 4 0 0 0 0 0 0 3 1 ; 0.0068944444
